suite,family,tier,tier_name,model_tier,model_group,model_id,model,runs,full_pass,formal_mean,stepwise_mean,source
clinic_shift_command,Clinical Command,C,Regulated,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.1046153846153846,0.22024799781553997,raw_current
clinic_shift_command,Clinical Command,C,Regulated,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.06358974358974356,0.27136114562943825,raw_current
clinic_shift_command,Clinical Command,C,Regulated,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.0910428859584581,raw_current
clinic_shift_command,Clinical Command,C,Regulated,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.0,0.06373002017092066,raw_current
clinic_shift_command,Clinical Command,C,Regulated,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,0,0.6974358974358974,0.7989171821854749,raw_current
clinic_shift_command,Clinical Command,C,Regulated,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.27692307692307694,0.4318660955992101,raw_current
clinic_shift_command,Clinical Command,C,Regulated,F,Frontier,gpt54,GPT-5.4,10,0,0.9564102564102563,0.9950689273203345,raw_current
clinic_shift_command,Clinical Command,C,Regulated,F,Frontier,claude_opus46,Claude Opus 4.6,10,5,0.8856410256410256,0.8995934959349594,raw_current
clinic_shift_command,Clinical Command,C,Regulated,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,0,0.4969230769230769,0.620373421294153,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.00676328502415458,0.16666891601219733,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.05362318840579709,0.17780846981574144,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.0900865728745343,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.0,0.08107791558708086,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,0,0.44685990338164244,0.6568908832521669,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.3985507246376811,0.5172817163030767,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,F,Frontier,gpt54,GPT-5.4,10,3,0.9676328502415459,0.9934398530823316,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,F,Frontier,claude_opus46,Claude Opus 4.6,10,0,0.8927536231884059,0.9587376642043864,raw_current
clinic_shift_command,Clinical Command,D,Release-stage,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,0,0.593719806763285,0.6864718526693354,raw_current
campus_registrar_command,Campus Registrar,A,Consumer,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.21,0.408,report_per_model
campus_registrar_command,Campus Registrar,A,Consumer,M,Mini,claude_haiku45,Claude Haiku 4.5,10,1,0.375,0.579,report_per_model
campus_registrar_command,Campus Registrar,A,Consumer,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.055,0.228,report_per_model
campus_registrar_command,Campus Registrar,A,Consumer,T,Turbo,gpt54_mini,GPT-5.4 mini,10,1,0.2319999999999999,0.367,report_per_model
campus_registrar_command,Campus Registrar,A,Consumer,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,6,0.758,0.848,report_per_model
campus_registrar_command,Campus Registrar,A,Consumer,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,2,0.34,0.481,report_per_model
campus_registrar_command,Campus Registrar,A,Consumer,F,Frontier,gpt54,GPT-5.4,10,6,0.711,0.768,report_per_model
campus_registrar_command,Campus Registrar,A,Consumer,F,Frontier,claude_opus46,Claude Opus 4.6,10,8,0.8,0.8220000000000001,report_per_model
campus_registrar_command,Campus Registrar,A,Consumer,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,7,0.915,0.955,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,M,Mini,gpt54_nano,GPT-5.4 nano,10,2,0.261,0.379,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.109,0.251,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.062,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.039,0.206,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,1,0.6659999999999999,0.782,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,4,0.716,0.8490000000000001,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,F,Frontier,gpt54,GPT-5.4,10,7,0.82,0.863,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,F,Frontier,claude_opus46,Claude Opus 4.6,10,9,0.9,0.908,report_per_model
campus_registrar_command,Campus Registrar,B,Operational,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,7,0.789,0.8140000000000001,report_per_model
campus_registrar_command,Campus Registrar,C,Regulated,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.19491525423728814,0.303839490230855,raw_current
campus_registrar_command,Campus Registrar,C,Regulated,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.1847457627118644,0.32247927899264833,raw_current
campus_registrar_command,Campus Registrar,C,Regulated,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.06308600638597715,raw_current
campus_registrar_command,Campus Registrar,C,Regulated,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.0,0.031543003192988577,raw_current
campus_registrar_command,Campus Registrar,C,Regulated,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,8,0.9906779661016948,0.9991308744221878,raw_current
campus_registrar_command,Campus Registrar,C,Regulated,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.28220338983050847,0.3965455522706399,raw_current
campus_registrar_command,Campus Registrar,C,Regulated,F,Frontier,gpt54,GPT-5.4,10,2,0.7559999999999999,0.802,report_per_model
campus_registrar_command,Campus Registrar,C,Regulated,F,Frontier,claude_opus46,Claude Opus 4.6,10,1,0.7340000000000001,0.895,report_per_model
campus_registrar_command,Campus Registrar,C,Regulated,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,1,0.6409999999999999,0.8190000000000001,report_per_model
campus_registrar_command,Campus Registrar,D,Release-stage,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.1494047619047619,0.2334904100787559,raw_current
campus_registrar_command,Campus Registrar,D,Release-stage,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.20892857142857144,0.31412537767330995,raw_current
campus_registrar_command,Campus Registrar,D,Release-stage,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.0570632490392828,raw_current
campus_registrar_command,Campus Registrar,D,Release-stage,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.0,0.04565059923142624,raw_current
campus_registrar_command,Campus Registrar,D,Release-stage,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,1,0.581547619047619,0.6778010352751894,raw_current
campus_registrar_command,Campus Registrar,D,Release-stage,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.2702380952380952,0.4214762387130807,raw_current
campus_registrar_command,Campus Registrar,D,Release-stage,F,Frontier,gpt54,GPT-5.4,10,1,0.705,0.8270000000000001,report_per_model
campus_registrar_command,Campus Registrar,D,Release-stage,F,Frontier,claude_opus46,Claude Opus 4.6,10,0,0.914,0.989,report_per_model
campus_registrar_command,Campus Registrar,D,Release-stage,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,0,0.7020000000000001,0.856,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.268,0.386,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.217,0.423,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.033,0.172,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.098,0.162,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,5,0.679,0.752,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,6,0.6990000000000001,0.731,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,F,Frontier,gpt54,GPT-5.4,10,9,0.998,1.0,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,F,Frontier,claude_opus46,Claude Opus 4.6,10,10,1.0,1.0,report_per_model
media_campaign_launch_desk,Media Campaign,A,Consumer,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,7,0.875,0.94,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.172,0.341,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.043,0.181,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.1169999999999999,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.0,0.079,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,8,0.898,0.921,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,2,0.376,0.501,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,F,Frontier,gpt54,GPT-5.4,10,2,0.85,0.938,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,F,Frontier,claude_opus46,Claude Opus 4.6,10,9,0.991,0.999,report_per_model
media_campaign_launch_desk,Media Campaign,B,Operational,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,7,0.759,0.807,report_per_model
media_campaign_launch_desk,Media Campaign,C,Regulated,M,Mini,gpt54_nano,GPT-5.4 nano,10,3,0.5845714285714286,0.6658663331999466,raw_current
media_campaign_launch_desk,Media Campaign,C,Regulated,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.2337142857142857,0.4217647058823529,raw_current
media_campaign_launch_desk,Media Campaign,C,Regulated,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.10591381886087761,raw_current
media_campaign_launch_desk,Media Campaign,C,Regulated,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.0,0.07777653728157924,raw_current
media_campaign_launch_desk,Media Campaign,C,Regulated,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,0,0.6748571428571429,0.7828378951580632,raw_current
media_campaign_launch_desk,Media Campaign,C,Regulated,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,2,0.4622857142857143,0.594572935841003,raw_current
media_campaign_launch_desk,Media Campaign,C,Regulated,F,Frontier,gpt54,GPT-5.4,10,1,0.9057142857142857,0.9934136054421769,raw_current
media_campaign_launch_desk,Media Campaign,C,Regulated,F,Frontier,claude_opus46,Claude Opus 4.6,10,8,0.8902857142857142,0.9070020074696545,raw_current
media_campaign_launch_desk,Media Campaign,C,Regulated,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,6,0.8874285714285713,0.9226835734293717,raw_current
media_campaign_launch_desk,Media Campaign,D,Release-stage,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.20423280423280424,0.3797505828792124,raw_current
